"Interactive image","Image interactive"
"Use ajax for adding product to cart","Utiliser l'ajax (popin) pour l'ajout au panier"
"Module Auguria_CartAjax must be enabled","Le module Auguria_CartAjax doit être activé"
"Define areas","Définir les zones"
"Clear","Tout supprimer"
"Position","Position"
"Product Sku","Sku du produit"
"Hilight area on frontend","Afficher le contour de la zone en front"
"Delete","Supprimer"
"Close","Fermer"
"Save","Sauvegarder"
"Products","Produits"
"Designation","Désignation"
"Qty","Qté"
